Stkcd,Accper,Indcd
000001,2017/3/31,J66
000001,2017/6/30,J66
000001,2017/9/30,J66
000001,2017/12/31,J66
000002,2017/3/31,K70
000002,2017/6/30,K70
000002,2017/9/30,K70
000002,2017/12/31,K70
000004,2017/3/31,C27
000004,2017/6/30,C27
000004,2017/9/30,C27
000004,2017/12/31,C27
000005,2017/3/31,N77
000005,2017/6/30,N77
000005,2017/9/30,N77
000005,2017/12/31,N77
000006,2017/3/31,K70
000006,2017/6/30,K70
000006,2017/9/30,K70
000007,2017/9/30,K70
000008,2017/3/31,C37
000008,2017/6/30,C37
000008,2017/9/30,C37
000008,2017/12/31,C37
000009,2017/3/31,S90
000009,2017/6/30,S90
000009,2017/9/30,S90
000009,2017/12/31,S90
000010,2017/3/31,E48
000010,2017/6/30,E48
000010,2017/9/30,E48
000010,2017/12/31,E48
000011,2017/3/31,K70
000011,2017/6/30,K70
000011,2017/9/30,K70
000011,2017/12/31,K70
000012,2017/3/31,C30
000012,2017/6/30,C30
000012,2017/9/30,C30
000012,2017/12/31,C30
000014,2017/3/31,K70
000014,2017/6/30,K70
000014,2017/9/30,K70
000014,2017/12/31,K70
000016,2017/3/31,C39
000016,2017/6/30,C39
000016,2017/9/30,C39
000016,2017/12/31,C39
000017,2017/3/31,C37
000017,2017/6/30,C37
000017,2017/9/30,C37
000017,2017/12/31,C37
000018,2017/3/31,E50
000018,2017/6/30,E50
000018,2017/9/30,E50
000018,2017/12/31,E50
000019,2017/3/31,C15
000019,2017/6/30,C15
000020,2017/3/31,C39
000020,2017/9/30,C39
000020,2017/12/31,C39
000021,2017/3/31,C39
000021,2017/6/30,C39
000021,2017/9/30,C39
000021,2017/12/31,C39
000022,2017/3/31,G55
000022,2017/6/30,G55
000022,2017/9/30,G55
000023,2017/3/31,C30
000023,2017/6/30,C30
000023,2017/9/30,C30
000023,2017/12/31,C30
000025,2017/3/31,F51
000025,2017/6/30,F51
000025,2017/9/30,F51
000025,2017/12/31,F51
000026,2017/3/31,F52
000026,2017/6/30,F52
000026,2017/9/30,F52
000026,2017/12/31,F52
000027,2017/3/31,D44
000027,2017/6/30,D44
000027,2017/9/30,D44
000027,2017/12/31,D44
000028,2017/3/31,F51
000028,2017/6/30,F51
000028,2017/9/30,F51
000028,2017/12/31,F51
000030,2017/3/31,C36
000030,2017/6/30,C36
000030,2017/9/30,C36
000030,2017/12/31,C36
000031,2017/3/31,K70
000031,2017/6/30,K70
000032,2017/9/30,F51
000032,2017/12/31,F51
000034,2017/3/31,F51
000034,2017/9/30,F51
000035,2017/3/31,N77
000035,2017/6/30,N77
000036,2017/3/31,K70
000036,2017/6/30,K70
000036,2017/9/30,K70
000036,2017/12/31,K70
000037,2017/3/31,D44
000037,2017/6/30,D44
000037,2017/9/30,D44
000037,2017/12/31,D44
000038,2017/3/31,L72
000038,2017/12/31,L72
000039,2017/3/31,C33
000039,2017/6/30,C33
000039,2017/9/30,C33
000039,2017/12/31,C33
000040,2017/3/31,K70
000040,2017/6/30,K70
000040,2017/9/30,E48
000040,2017/12/31,E48
000042,2017/6/30,K70
000042,2017/9/30,K70
000042,2017/12/31,K70
000043,2017/3/31,K70
000043,2017/6/30,K70
000043,2017/9/30,K70
000043,2017/12/31,K70
000045,2017/3/31,C39
000045,2017/6/30,C39
000045,2017/9/30,C39
000045,2017/12/31,C39
000046,2017/3/31,K70
000046,2017/6/30,K70
000046,2017/9/30,K70
000046,2017/12/31,K70
000048,2017/3/31,C13
000048,2017/6/30,C13
000048,2017/9/30,C13
000048,2017/12/31,C13
000049,2017/3/31,C38
000049,2017/6/30,C38
000049,2017/9/30,C38
000049,2017/12/31,C38
000050,2017/3/31,C39
000050,2017/6/30,C39
000050,2017/9/30,C39
000050,2017/12/31,C39
000055,2017/3/31,C33
000055,2017/6/30,C33
000055,2017/9/30,C33
000055,2017/12/31,C33
000056,2017/3/31,K70
