Stkcd,Ddate,Meps
證券代碼,報告期間,每股收益
沒有單位,沒有單位,元
000001,2019-12-31,1.54
000002,2019-12-31,3.47
000006,2019-12-31,0.5935
000008,2019-12-31,0.161
000009,2019-12-31,0.12
000012,2019-12-31,0.17
000016,2019-12-31,0.0881
000021,2019-12-31,0.2395
000022,2019-12-31,1.59
000026,2019-12-31,0.4943
000027,2019-12-31,0.43
000028,2019-12-31,2.97
000030,2019-12-31,0.5
000031,2019-12-31,0.61
000034,2019-12-31,1.0788
000035,2019-12-31,0.3018
000036,2019-12-31,0.551
000038,2019-12-31,0.2341
000039,2019-12-31,0.37
000040,2019-12-31,-0.6437
000042,2019-12-31,1.184
000043,2019-12-31,0.409
000049,2019-12-31,2.4409
000050,2019-12-31,0.4049
000055,2019-12-31,0.31
000056,2019-12-31,0.04
000059,2019-12-31,0.62
000060,2019-12-31,0.24
000061,2019-12-31,0.1828
000062,2019-12-31,0.6024
000063,2019-12-31,1.22
000065,2019-12-31,0.92
000066,2019-12-31,0.38
000068,2019-12-31,0.006
000069,2019-12-31,1.5044
000070,2019-12-31,0.4123
000078,2019-12-31,0.091
000088,2019-12-31,0.19
000089,2019-12-31,0.2895
000090,2019-12-31,0.6042
000096,2019-12-31,0.24
000099,2019-12-31,0.35
000100,2019-12-31,0.1986
000150,2019-12-31,-1.7913
000151,2019-12-31,0.0296
000155,2019-12-31,0.17
000156,2019-12-31,0.45
000157,2019-12-31,0.58
000158,2019-12-31,0.06
000166,2019-12-31,0.24
000301,2019-12-31,0.4
000333,2019-12-31,3.6
000338,2019-12-31,1.15
000400,2019-12-31,0.4228
000401,2019-12-31,1.853
000402,2019-12-31,1.15
000403,2019-12-31,0.5886
000404,2019-12-31,0.044
000407,2019-12-31,0.15
000408,2019-12-31,0.18
000411,2019-12-31,0.66
000413,2019-12-31,-0.27
000415,2019-12-31,0.2992
000416,2019-12-31,0.0534
000417,2019-12-31,0.2047
000419,2019-12-31,0.3209
000420,2019-12-31,0.0461
000421,2019-12-31,0.1767
000423,2019-12-31,-0.68
000425,2019-12-31,0.432
000426,2019-12-31,0.0556
000428,2019-12-31,0.049
000429,2019-12-31,0.6
000430,2019-12-31,0.03
000488,2019-12-31,0.33
000498,2019-12-31,0.5533
000501,2019-12-31,1.6
000503,2019-12-31,0.0194
000505,2019-12-31,0.19
000507,2019-12-31,0.2513
000513,2019-12-31,1.39
000516,2019-12-31,-0.21
000519,2019-12-31,0.183
000521,2019-12-31,0.054
000523,2019-12-31,0.1
000524,2019-12-31,0.39
000525,2019-12-31,-0.586
000528,2019-12-31,0.69
000529,2019-12-31,0.42
000530,2019-12-31,0.106
000532,2019-12-31,0.2055
000533,2019-12-31,0.004
000534,2019-12-31,0.1437
000536,2019-12-31,-0.9353
000537,2019-12-31,1.69
000538,2019-12-31,3.28
000539,2019-12-31,0.22
000540,2019-12-31,0.1587
000541,2019-12-31,0.2152
000543,2019-12-31,0.39
000544,2019-12-31,0.48
000545,2019-12-31,0.0253
000546,2019-12-31,0.7
000547,2019-12-31,0.42
000548,2019-12-31,0.11
000550,2019-12-31,0.17
000552,2019-12-31,0.2294
000553,2019-12-31,0.11
000554,2019-12-31,0.0123
000555,2019-12-31,0.3899
000557,2019-12-31,0.03
000558,2019-12-31,0.02
000559,2019-12-31,0.19
000560,2019-12-31,0.3566
000561,2019-12-31,0.15
000563,2019-12-31,0.1467
000564,2019-12-31,-0.2031
000565,2019-12-31,0.15
000566,2019-12-31,-0.12
000567,2019-12-31,0.1721
000568,2019-12-31,3.17
000571,2019-12-31,-0.7533
000581,2019-12-31,2.25
000582,2019-12-31,0.6
000584,2019-12-31,0.0667
000591,2019-12-31,0.303
000593,2019-12-31,0.115
000596,2019-12-31,4.17
000597,2019-12-31,0.19
000598,2019-12-31,0.36
000599,2019-12-31,-0.33
000600,2019-12-31,0.357
000601,2019-12-31,0.37
000603,2019-12-31,0.65
000605,2019-12-31,0.1
000606,2019-12-31,-1.327
000607,2019-12-31,0.02
000608,2019-12-31,-0.11
000610,2019-12-31,-0.1276
000612,2019-12-31,0.089
000615,2019-12-31,0.02
000617,2019-12-31,0.86
000619,2019-12-31,0.0322
000620,2019-12-31,0.43
000625,2019-12-31,-0.55
000627,2019-12-31,0.36
000628,2019-12-31,0.336
000629,2019-12-31,0.1652
000630,2019-12-31,0.08
000636,2019-12-31,0.38
000639,2019-12-31,-0.7
000650,2019-12-31,0.43
000651,2019-12-31,4.11
000655,2019-12-31,0.302
000656,2019-12-31,1.05
000657,2019-12-31,0.14
000661,2019-12-31,10.27
000662,2019-12-31,-4.6412
000663,2019-12-31,-0.7
000665,2019-12-31,0.11
000666,2019-12-31,0.7
000669,2019-12-31,-1.93
000671,2019-12-31,0.91
000672,2019-12-31,2.93
000673,2019-12-31,-0.7733
000676,2019-12-31,0.4936
000681,2019-12-31,0.3127
