Stkcd,Accper,Typrep,Indcd
000001,2020-12-31,A,J66
000002,2020-12-31,A,K70
000004,2020-12-31,A,I65
000005,2020-12-31,A,N77
000006,2020-12-31,A,K70
000007,2020-12-31,A,K70
000008,2020-12-31,A,C37
000009,2020-12-31,A,S90
000010,2020-12-31,A,E48
000011,2020-12-31,A,K70
000012,2020-12-31,A,C30
000014,2020-12-31,A,K70
000016,2020-12-31,A,C39
000017,2020-12-31,A,C37
000019,2020-12-31,A,F51
000020,2020-12-31,A,C39
000021,2020-12-31,A,C39
000023,2020-12-31,A,C30
000025,2020-12-31,A,F51
000026,2020-12-31,A,F52
000027,2020-12-31,A,D44
000028,2020-12-31,A,F51
000029,2020-12-31,A,K70
000030,2020-12-31,A,C36
000031,2020-12-31,A,K70
000032,2020-12-31,A,F51
000034,2020-12-31,A,F51
000035,2020-12-31,A,N77
000036,2020-12-31,A,K70
000037,2020-12-31,A,D44
000038,2020-12-31,A,L72
000039,2020-12-31,A,C33
000040,2020-12-31,A,D44
000042,2020-12-31,A,K70
000045,2020-12-31,A,C39
000046,2020-12-31,A,J69
000048,2020-12-31,A,C13
000049,2020-12-31,A,C38
000050,2020-12-31,A,C39
000055,2020-12-31,A,C33
000056,2020-12-31,A,L72
000058,2020-12-31,A,L72
000059,2020-12-31,A,C25
000060,2020-12-31,A,C32
000061,2020-12-31,A,L72
000062,2020-12-31,A,F51
000063,2020-12-31,A,C39
000065,2020-12-31,A,E48
000066,2020-12-31,A,C39
000068,2020-12-31,A,M74
000069,2020-12-31,A,K70
000070,2020-12-31,A,C38
000078,2020-12-31,A,F52
000088,2020-12-31,A,G54
000089,2020-12-31,A,G56
000090,2020-12-31,A,E48
000096,2020-12-31,A,F51
000099,2020-12-31,A,G56
000100,2020-12-31,A,C39
000150,2020-12-31,A,Q83
000151,2020-12-31,A,F51
000153,2020-12-31,A,C27
000155,2020-12-31,A,D44
000156,2020-12-31,A,R86
000157,2020-12-31,A,C35
000158,2020-12-31,A,I65
000159,2020-12-31,A,F51
000166,2020-12-31,A,J67
000301,2020-12-31,A,C28
000333,2020-12-31,A,C38
000338,2020-12-31,A,C36
000400,2020-12-31,A,C38
000401,2020-12-31,A,C30
000402,2020-12-31,A,K70
000403,2020-12-31,A,C27
000404,2020-12-31,A,C34
000407,2020-12-31,A,D45
000408,2020-12-31,A,C26
000409,2020-12-31,A,S90
000410,2020-12-31,A,C34
000411,2020-12-31,A,F51
000413,2020-12-31,A,C39
000415,2020-12-31,A,L71
000416,2020-12-31,A,J69
000417,2020-12-31,A,F52
000419,2020-12-31,A,F52
000420,2020-12-31,A,C28
000421,2020-12-31,A,D45
000422,2020-12-31,A,C26
000423,2020-12-31,A,C27
000425,2020-12-31,A,C35
000426,2020-12-31,A,B09
000428,2020-12-31,A,H61
000429,2020-12-31,A,G54
000430,2020-12-31,A,N78
000488,2020-12-31,A,C22
000498,2020-12-31,A,E48
000501,2020-12-31,A,F52
000502,2020-12-31,A,K70
000503,2020-12-31,A,I64
000504,2020-12-31,A,M75
000505,2020-12-31,A,C13
000506,2020-12-31,A,B09
000507,2020-12-31,A,G55
000509,2020-12-31,A,C29
000510,2020-12-31,A,C26
000513,2020-12-31,A,C27
000514,2020-12-31,A,K70
000516,2020-12-31,A,Q83
000517,2020-12-31,A,K70
000518,2020-12-31,A,C27
000519,2020-12-31,A,C35
000520,2020-12-31,A,G55
000521,2020-12-31,A,C38
000523,2020-12-31,A,C26
000524,2020-12-31,A,H61
000525,2020-12-31,A,C26
000526,2020-12-31,A,P82
000528,2020-12-31,A,C35
000529,2020-12-31,A,C13
000530,2020-12-31,A,C34
000531,2020-12-31,A,D44
000532,2020-12-31,A,S90
000533,2020-12-31,A,C38
000534,2020-12-31,A,C27
000536,2020-12-31,A,C39
000537,2020-12-31,A,K70
000538,2020-12-31,A,C27
000539,2020-12-31,A,D44
000540,2020-12-31,A,K70
000541,2020-12-31,A,C38
000543,2020-12-31,A,D44
000544,2020-12-31,A,D46
000545,2020-12-31,A,C26
000546,2020-12-31,A,N77
000547,2020-12-31,A,C39
000548,2020-12-31,A,G54
000550,2020-12-31,A,C36
000551,2020-12-31,A,S90
000552,2020-12-31,A,B06
000553,2020-12-31,A,C26
000554,2020-12-31,A,F51
000555,2020-12-31,A,I65
000557,2020-12-31,A,G53
000558,2020-12-31,A,K70
000559,2020-12-31,A,C36
000560,2020-12-31,A,K70
000561,2020-12-31,A,C39
000563,2020-12-31,A,J69
000564,2020-12-31,A,F52
000565,2020-12-31,A,C26
000566,2020-12-31,A,C27
000567,2020-12-31,A,J69
000568,2020-12-31,A,C15
000570,2020-12-31,A,C34
000571,2020-12-31,A,S90
000572,2020-12-31,A,C36
000573,2020-12-31,A,K70
000576,2020-12-31,A,C35
000581,2020-12-31,A,C36
000582,2020-12-31,A,G55
000584,2020-12-31,A,C35
000585,2020-12-31,A,C38
000586,2020-12-31,A,C39
000587,2020-12-31,A,C41
000589,2020-12-31,A,C29
000590,2020-12-31,A,C27
000591,2020-12-31,A,D44
000592,2020-12-31,A,A02
000593,2020-12-31,A,D45
000595,2020-12-31,A,C34
000596,2020-12-31,A,C15
000597,2020-12-31,A,C27
000598,2020-12-31,A,D46
000599,2020-12-31,A,C29
000600,2020-12-31,A,D44
000601,2020-12-31,A,D44
000603,2020-12-31,A,B09
000605,2020-12-31,A,D46
000606,2020-12-31,A,I64
000607,2020-12-31,A,R85
000608,2020-12-31,A,K70
000609,2020-12-31,A,S90
000610,2020-12-31,A,N78
000611,2020-12-31,A,C17
000612,2020-12-31,A,C32
000613,2020-12-31,A,H61
000615,2020-12-31,A,K70
000616,2020-12-31,A,K70
000617,2020-12-31,A,J67
000619,2020-12-31,A,C29
000620,2020-12-31,A,K70
000622,2020-12-31,A,C35
000623,2020-12-31,A,C27
000625,2020-12-31,A,C36
000626,2020-12-31,A,F51
000627,2020-12-31,A,J68
000628,2020-12-31,A,E47
000629,2020-12-31,A,C32
000630,2020-12-31,A,C32
000631,2020-12-31,A,K70
000632,2020-12-31,A,F51
000633,2020-12-31,A,C32
000635,2020-12-31,A,C26
000636,2020-12-31,A,C39
000637,2020-12-31,A,C25
000638,2020-12-31,A,I65
000639,2020-12-31,A,C13
000650,2020-12-31,A,C27
000651,2020-12-31,A,C38
000652,2020-12-31,A,F51
000655,2020-12-31,A,B08
000656,2020-12-31,A,K70
000657,2020-12-31,A,C32
000659,2020-12-31,A,C29
000661,2020-12-31,A,C27
000663,2020-12-31,A,C21
000665,2020-12-31,A,R86
000666,2020-12-31,A,J67
000667,2020-12-31,A,K70
000668,2020-12-31,A,K70
000669,2020-12-31,A,D45
000670,2020-12-31,A,C39
000671,2020-12-31,A,K70
000672,2020-12-31,A,C30
000673,2020-12-31,A,R87
000676,2020-12-31,A,I64
000677,2020-12-31,A,C28
000678,2020-12-31,A,C34
000679,2020-12-31,A,F52
000680,2020-12-31,A,C35
000681,2020-12-31,A,R87
000682,2020-12-31,A,I65
000683,2020-12-31,A,C26
000685,2020-12-31,A,D46
000686,2020-12-31,A,J67
000687,2020-12-31,A,C39
000688,2020-12-31,A,B09
000690,2020-12-31,A,D44
000691,2020-12-31,A,C26
000692,2020-12-31,A,D44
000695,2020-12-31,A,C23
000697,2020-12-31,A,C37
000698,2020-12-31,A,C25
000700,2020-12-31,A,C36
000701,2020-12-31,A,F51
000702,2020-12-31,A,C13
000703,2020-12-31,A,C28
000705,2020-12-31,A,F51
000707,2020-12-31,A,C26
000708,2020-12-31,A,C31
000709,2020-12-31,A,C31
000710,2020-12-31,A,M74
000711,2020-12-31,A,E48
000712,2020-12-31,A,J67
000713,2020-12-31,A,A05
000715,2020-12-31,A,F52
000716,2020-12-31,A,C14
000717,2020-12-31,A,C31
000718,2020-12-31,A,K70
000719,2020-12-31,A,R85
000720,2020-12-31,A,K70
000721,2020-12-31,A,H62
000722,2020-12-31,A,D44
000723,2020-12-31,A,C25
000725,2020-12-31,A,C39
000726,2020-12-31,A,C17
000727,2020-12-31,A,C39
000728,2020-12-31,A,J67
000729,2020-12-31,A,C15
000731,2020-12-31,A,C26
000732,2020-12-31,A,K70
000733,2020-12-31,A,C39
000735,2020-12-31,A,A03
000736,2020-12-31,A,K70
000737,2020-12-31,A,C26
000738,2020-12-31,A,C37
000739,2020-12-31,A,C27
000750,2020-12-31,A,J67
000751,2020-12-31,A,C32
000752,2020-12-31,A,C15
000753,2020-12-31,A,F52
000755,2020-12-31,A,G54
000756,2020-12-31,A,C27
000757,2020-12-31,A,F52
000758,2020-12-31,A,B09
000759,2020-12-31,A,F52
000761,2020-12-31,A,C31
000762,2020-12-31,A,B08
000766,2020-12-31,A,C27
000767,2020-12-31,A,D44
000768,2020-12-31,A,C37
000776,2020-12-31,A,J67
000777,2020-12-31,A,C34
000778,2020-12-31,A,C33
000779,2020-12-31,A,M74
000780,2020-12-31,A,B06
000782,2020-12-31,A,C28
000783,2020-12-31,A,J67
000785,2020-12-31,A,F52
000786,2020-12-31,A,C30
000788,2020-12-31,A,C27
000789,2020-12-31,A,C30
000790,2020-12-31,A,C27
000791,2020-12-31,A,D44
000792,2020-12-31,A,C26
000793,2020-12-31,A,R85
000795,2020-12-31,A,C30
000796,2020-12-31,A,L72
000797,2020-12-31,A,K70
000798,2020-12-31,A,A04
000799,2020-12-31,A,C15
000800,2020-12-31,A,C36
000801,2020-12-31,A,C39
000802,2020-12-31,A,R86
000803,2020-12-31,A,C38
000806,2020-12-31,A,C38
000807,2020-12-31,A,C32
000809,2020-12-31,A,N78
000810,2020-12-31,A,C39
000811,2020-12-31,A,C34
000812,2020-12-31,A,C23
000813,2020-12-31,A,C27
000815,2020-12-31,A,C22
000816,2020-12-31,A,C34
000818,2020-12-31,A,C26
000819,2020-12-31,A,C25
000820,2020-12-31,A,C42
000821,2020-12-31,A,C35
000822,2020-12-31,A,C26
000823,2020-12-31,A,C39
000825,2020-12-31,A,C31
000826,2020-12-31,A,N77
000828,2020-12-31,A,G54
000829,2020-12-31,A,F51
000830,2020-12-31,A,C26
000831,2020-12-31,A,C32
000833,2020-12-31,A,S90
000835,2020-12-31,A,I64
000836,2020-12-31,A,C38
000837,2020-12-31,A,C34
000838,2020-12-31,A,K70
000839,2020-12-31,A,I63
000848,2020-12-31,A,C15
000850,2020-12-31,A,C17
000851,2020-12-31,A,F52
000852,2020-12-31,A,C35
000856,2020-12-31,A,C35
000858,2020-12-31,A,C15
000859,2020-12-31,A,C29
000860,2020-12-31,A,C15
