嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-07-18,000002,2,6308.5,16.5,2,8,0.25,3,1074,310,K70,,
2017-11-01,000002,1,2666,3,3,0,0.61,2.5,298,327,K70,,
2017-08-10,000008,1,24970,9,9,1,4.37,3.5,673,0,C37,,
2017-05-11,000008,2,7,0,0,0,4.12,3.5,723,0,C37,,
2017-12-23,000021,1,33347,8,7,3,5.61,3.5,439,393,C39,,
2017-05-23,000021,3,36958.67,16.67,16.67,9.33,4.16,3.5,1656,0,C39,,
2017-07-02,000021,2,88189,27.5,27.5,12.5,4.27,3.5,1656,0,C39,,
2017-05-14,000021,1,60077,24,24,11,4.13,3.5,1656,0,C39,,
2017-01-09,000021,1,49484,8,4,1,3.79,3.5,1656,0,C39,,
2017-03-08,000021,1,90225,20,19,10,3.95,3.5,1656,0,C39,,
2017-05-24,000021,1,37560,6,6,6,4.16,3.5,1656,0,C39,,
2017-01-17,000021,1,133699,17,13,7,3.81,3.5,1656,0,C39,,
2017-05-26,000021,1,57566,16,16,5,4.17,3.5,1656,0,C39,,
2017-11-28,000026,2,13.5,0,0,0,4.67,3,987,0,F52,,
2017-06-01,000035,2,31547,76.5,27,32.5,0.23,2.5,265,314,N77,,
2017-05-11,000035,1,56806,145,44,17,0.18,2.5,265,314,N77,,
2017-05-08,000035,1,83307,220,53,36,0.17,2.5,265,314,N77,,
2017-06-06,000035,1,32541,33,24,14,0.25,2.5,265,314,N77,,
2017-07-24,000036,1,8177,15,11,2,3.87,4,306,389,K70,,
2017-12-31,000038,2,54.5,0,0,0,4.76,3.5,1548,0,L72,,
2017-12-18,000038,2,5.5,0,0,0,4.73,3.5,1524,0,L72,,
2017-12-01,000038,2,1,0,0,0,4.68,3.5,1524,0,L72,,
2017-11-01,000038,2,3.5,0,0,0,4.6,3.5,1530,0,L72,,
2017-10-09,000038,2,21.5,0,0,0,4.54,3.5,1538,0,L72,,
2017-10-19,000038,2,7.5,0,0,0,4.56,3.5,1530,0,L72,,
2017-01-14,000038,2,4.5,0,0,0,3.8,3.5,1556,0,L72,,
2017-02-03,000038,2,2.5,0,0,0,3.86,3.5,1556,0,L72,,
2017-02-16,000038,2,18.5,0,0,0,3.89,3.5,1558,0,L72,,
2017-03-01,000038,2,9,0,0,0,3.93,3.5,1552,0,L72,,
2017-03-16,000038,2,12.5,0,0,0,3.97,3.5,1556,0,L72,,
2017-04-05,000038,2,13,0,0,0,4.02,3.5,1550,0,L72,,
2017-04-16,000038,2,8.5,0,0,0,4.05,3.5,1548,0,L72,,
2017-05-02,000038,2,8.5,0,0,0,4.1,3.5,1548,0,L72,,
2017-05-16,000038,2,11.5,0,0,0,4.14,3.5,1544,0,L72,,
2017-06-01,000038,2,10.5,0,0,0,4.18,3.5,1546,0,L72,,
2017-06-16,000038,2,26,0,0,0,4.22,3.5,1548,0,L72,,
2017-07-03,000038,2,7.5,0,0,0,4.27,3.5,1536,0,L72,,
2017-02-20,000040,1,9044,2,2,0,3.9,3.5,1941,0,E48,,
2017-04-10,000042,1,6225,10,10,1,0.5,3,1274,382,K70,,
2017-12-01,000050,1,56774,8,0,12,4.68,3.5,1077,0,C39,,
2017-07-20,000059,1,18900,23,16,11,3.85,4,306,399,C25,,
2017-05-17,000059,2,123012,27,27,13.5,4.14,3.5,2072,0,C25,,
2017-11-05,000063,1,10442,5,2,1,1.19,3,1501,367,C39,,
2017-11-29,000063,1,1248790,962,645,114,3.6,4,468,358,C39,,
2017-09-29,000063,1,11580,14,0,1,1.09,2.5,1340,330,C39,,
2017-12-26,000066,1,145380,126,126,22,4.75,4,1739,0,C39,,
2017-12-27,000066,3,20223,6.67,6.67,4,4.75,4,1739,0,C39,,
2017-02-21,000066,1,3943,4,2,0,1.07,3,502,307,C39,,
