PostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-11-16,000002,1,4770,9,0,2,0.58,0,1057,319,K70,,
2017-12-20,000002,1,3478,12,10,1,2.72,2,19,372,K70,,
2017-07-18,000002,2,6308.5,16.5,2,8,0.25,3,1074,310,K70,,
2017-10-24,000002,1,2100,3,0,0,0.68,2,323,343,K70,,
2017-11-01,000002,1,2666,3,3,0,0.61,2.5,298,327,K70,,
2017-04-12,000005,1,6184,17,0,2,1.11,2.5,1543,308,N77,,
2017-05-08,000005,1,4485,11,0,0,2.13,1.5,116,328,N77,,
2017-05-23,000005,1,351680,282,277,47,1.68,3,1049,303,N77,,
2017-09-19,000005,1,49808,16,2,2,3.98,4,9141,361,N77,,
2017-09-21,000005,1,75088,124,124,7,2.57,2.5,1337,109,N77,,
2017-10-20,000005,1,178051,134,134,3,4.76,2,58,133,N77,,
2017-11-23,000005,1,33796,120,120,5,1.54,1.5,1550,94,N77,,
2017-03-13,000005,1,3663,23,18,1,1.88,2.5,888,322,N77,,
2017-08-10,000008,1,24970,9,9,1,4.37,3.5,673,0,C37,,
2017-05-11,000008,2,7,0,0,0,4.12,3.5,723,0,C37,,
2017-10-15,000009,1,17230,63,14,4,2.55,1.5,10,383,S90,,
2017-09-21,000009,1,39066,23,23,10,4.34,2.5,63,239,S90,,
2017-09-12,000009,1,19880,13,10,7,0.23,0,14,92,S90,,
2017-04-28,000009,1,2430,1,1,1,0.03,3.5,4804,310,S90,,
2017-05-11,000009,1,3588,5,5,0,0.12,1.5,15,333,S90,,
2017-05-12,000009,1,15910,26,25,2,0.12,1.5,15,386,S90,,
2017-03-28,000009,1,1310,0,1,0,0,1.5,15,333,S90,,
2017-03-29,000009,1,6868,11,6,1,0,1.5,15,333,S90,,
2017-05-27,000009,1,7781,4,4,1,0.16,1.5,15,333,S90,,
2017-11-22,000012,1,25724,57,5,9,3.95,1,39,324,C30,,
2017-08-11,000014,1,44310,13,13,4,4.38,3.5,1629,0,K70,,
2017-09-01,000014,1,8614,14,14,3,1.81,2.5,1100,387,K70,,
2017-12-23,000021,1,33347,8,7,3,5.61,3.5,439,393,C39,,
2017-05-23,000021,3,36958.67,16.67,16.67,9.33,4.16,3.5,1656,0,C39,,
2017-09-20,000021,1,19192,4,5,0,3.1,2,158,283,C39,,
2017-07-02,000021,2,88189,27.5,27.5,12.5,4.27,3.5,1656,0,C39,,
2017-05-14,000021,1,60077,24,24,11,4.13,3.5,1656,0,C39,,
2017-01-09,000021,1,49484,8,4,1,3.79,3.5,1656,0,C39,,
2017-03-08,000021,1,90225,20,19,10,3.95,3.5,1656,0,C39,,
2017-05-24,000021,1,37560,6,6,6,4.16,3.5,1656,0,C39,,
2017-01-17,000021,1,133699,17,13,7,3.81,3.5,1656,0,C39,,
2017-05-26,000021,1,57566,16,16,5,4.17,3.5,1656,0,C39,,
2017-11-28,000026,2,13.5,0,0,0,4.67,3,987,0,F52,,
2017-08-10,000027,1,4713,13,13,0,1.29,2,1040,312,D44,,
2017-06-01,000035,2,31547,76.5,27,32.5,0.23,2.5,265,314,N77,,
