嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-11-16,000002,1,4770,9,0,2,0.58,0,1057,319,K70,1806,
2017-12-20,000002,1,3478,12,10,1,2.72,2,19,372,K70,,
2017-10-24,000002,1,2100,3,0,0,0.68,2,323,343,K70,,
2017-11-22,000012,1,25724,57,5,9,3.95,1,39,324,C30,,
2017-09-20,000021,1,19192,4,5,0,3.1,2,158,283,C39,,
2017-08-10,000027,1,4713,13,13,0,1.29,2,1040,312,D44,,
2017-03-20,000039,1,1357,1,0,0,1.27,2,1274,341,C33,,
2017-03-24,000039,2,3081,1.5,0.5,2,1.28,2,1274,341,C33,,
2017-04-07,000039,1,3439,2,1,2,1.32,2,1274,340,C33,,
2017-04-12,000039,1,4601,11,9,3,1.33,2,1274,338,C33,,
2017-05-22,000039,2,1480.5,2.5,1.5,0.5,1.44,2,1274,336,C33,,
2017-04-13,000040,1,93342,592,592,31,1.32,1.5,2,1,E48,,
2017-06-21,000042,1,2719,2,2,2,0.05,2,496,30,K70,,
2017-08-01,000042,1,2074,5,4,1,3.45,2,104,332,K70,,
2017-08-22,000042,1,4470,1,1,0,7.48,2,69,56,K70,,
2017-10-09,000042,1,1676,2,2,0,0.46,2,55,42,K70,,
2017-12-04,000042,1,3670,2,2,1,0,1,13,23,K70,,
2017-04-20,000042,1,3299,2,2,2,0.53,1,38,8,K70,,
2017-06-06,000066,1,14783,81,0,11,2.05,1.5,120,381,C39,,
2017-09-19,000066,1,13663,60,0,10,2.33,1.5,120,381,C39,,
2017-12-28,000066,1,12593,29,0,5,2.61,1.5,120,381,C39,,
2017-11-24,000068,1,4037,4,2,0,2.42,1.5,29,322,C39,,
2017-10-21,000100,1,118856,229,229,17,0.42,0,494,0,C39,,
2017-11-16,000100,1,94910,353,180,26,3.63,2,31,376,C39,,
2017-08-04,000100,1,14066,23,23,12,4.68,2,213,381,C39,,
2017-04-27,000100,1,3423,11,10,3,0.09,1.5,8,370,C39,,
2017-04-12,000100,1,2200,4,0,1,0.05,1.5,8,370,C39,,
2017-07-16,000301,1,14578,10,2,1,3.35,1.5,130,294,D44,,
2017-04-22,000333,1,6787,49,7,5,0.36,1.5,4,308,C38,,
2017-03-05,000333,1,40825,97,9,10,0.22,0,4,322,C38,,
2017-07-20,000338,1,5769,4,2,9,2.48,1.5,102,126,C36,,
2017-10-19,000401,1,614040,527,274,79,1.96,2,20,370,C30,,
2017-09-14,000404,1,168445,99,42,18,1.64,1.5,1,58,C34,,
2017-11-09,000408,1,25201,24,11,9,4.48,2,74,351,C26,,
2017-11-13,000413,1,47517,134,133,35,2.2,2,143,216,C39,,
2017-09-23,000413,1,7876,10,1,7,4.32,2,1136,322,C39,,
2017-04-20,000417,1,13100,4,0,2,4.07,0,2360,0,F52,,
2017-05-13,000423,1,4702,6,1,3,1.95,1.5,32,391,C27,,
2017-05-03,000423,1,5512,7,4,3,1.92,1.5,32,391,C27,,
2017-04-23,000423,1,13975,17,15,5,1.89,1.5,32,391,C27,,
2017-11-14,000503,1,911998,1256,845,93,0.64,2,176,327,I64,,
2017-09-02,000519,1,6145,14,12,0,1.36,1.5,26,381,C35,,
2017-07-14,000524,1,3512,2,0,1,2.7,0.5,20,25,H61,,
2017-11-22,000532,1,25729,3,3,1,0,1.5,16,2,S90,,
2017-11-03,000540,1,99443,100,0,21,1.38,1,14,191,K70,,
2017-09-12,000553,1,1824,1,1,2,2.42,1.5,7,188,C26,,
2017-12-02,000555,1,74789,57,27,10,0.79,0,39,383,I65,,
2017-03-23,000555,1,16449,19,17,4,1.62,2,219,187,I65,,
2017-11-28,000565,1,8076,7,7,3,0.25,1,2,72,C26,,
2017-08-26,000599,1,7801,4,2,1,0.48,2,127,287,C29,,
2017-12-04,000600,1,25970,36,9,3,5.01,0,8,161,D44,,
2017-04-11,000605,1,10770,3,3,2,0.02,1.5,28,28,D46,,
2017-10-11,000625,1,3981,5,3,2,0.16,2,89,324,C36,,
2017-10-12,000625,2,5352,9.5,4,2.5,0.16,2,89,324,C36,,
2017-11-16,000625,1,1986,2,2,0,0.36,1.5,41,313,C36,,
2017-03-07,000625,1,31271,43,15,14,3.39,2,51,339,C36,,
2017-02-22,000651,1,11676,21,18,15,3.46,1.5,237,323,C38,,
2017-04-15,000651,2,7493,20.5,5,0,0.14,2.25,130.5,359.5,C38,,
2017-11-24,000651,3,2291,3.33,0,0.67,1.59,2.25,545,224.5,C38,,
2017-06-02,000651,1,8437,10,4,0,0.93,1.5,19,131,C38,,
2017-11-02,000651,1,5241,11,2,1,1.35,1.5,19,131,C38,,
2017-11-08,000651,1,31291,39,36,0,4.13,1.5,73,58,C38,,
2017-09-12,000651,1,1419,1,0,0,4.01,1.5,237,322,C38,,
2017-07-06,000656,1,3241,2,2,0,0.01,1,6,58,K70,,
2017-10-19,000656,1,1842,2,2,2,0.07,0.5,3,2,K70,,
2017-06-13,000676,1,55461,5,5,10,4.21,0,1435,0,I64,,
2017-04-05,000681,1,19793,17,10,4,0.48,1,10,30,R87,,
2017-11-28,000683,2,3027.5,3,0,1,3.74,0.5,18,62,C26,,
2017-05-23,000688,1,91401,220,200,44,2.41,1,20,394,B09,,
2017-09-17,000688,1,3,0,0,0,2.38,1,132,149,B09,,
2017-12-17,000697,1,9198,12,2,3,2.73,1.5,30,354,C37,,
2017-11-09,000697,1,1428,0,0,0,2.6,0,2,11,C37,,
2017-01-07,000698,1,20329,23,10,8,0.07,2,62,383,C25,,
2017-01-10,000707,1,2409,0,0,1,0.01,1,20,12,C26,,
2017-09-15,000709,1,25234,81,25,17,0.11,2,47,394,C31,,
2017-09-03,000709,1,35646,77,33,18,0.08,2,47,394,C31,,
2017-08-30,000709,1,34617,158,147,24,0,1,1,76,C31,,
2017-03-14,000711,1,15075,8,8,4,3.96,0,2016,0,A05,,
2017-04-21,000711,1,2134,5,4,0,0.07,0,162,335,A05,,
2017-09-05,000711,1,2000,4,4,0,0.45,0,162,335,A05,,
2017-09-08,000711,1,1961,2,2,3,0.46,0,162,335,A05,,
2017-09-09,000711,1,2760,3,0,2,0.46,0,162,335,A05,,
2017-09-10,000711,1,2152,2,0,2,0.46,0,162,335,A05,,
2017-09-12,000711,1,1859,1,0,1,0.47,0,162,335,A05,,
2017-10-20,000711,1,1219,1,0,0,0.57,0,162,335,A05,,
2017-10-27,000711,1,1861,2,1,1,0.59,0,162,335,A05,,
2017-10-29,000711,1,930,1,0,1,0.6,0,162,335,A05,,
2017-10-31,000711,1,1354,2,2,4,0.6,0,162,335,A05,,
2017-11-01,000711,2,1437,2,1.5,0,0.61,0,162,335,A05,,
2017-11-02,000711,2,1366,2.5,1.5,0.5,0.61,0,162,335,A05,,
2017-11-07,000711,1,1115,2,2,0,0.62,0,162,335,A05,,
2017-11-09,000711,5,10083,36.8,36.2,0.4,1.51,1.13,42.75,109.5,A05,,
2017-12-04,000716,1,16380,37,3,13,1.99,0,350,388,C14,,
2017-06-12,000717,1,48219,39,19,23,3.07,2,18,213,C31,,
2017-07-21,000721,1,2383,1,1,2,0.25,1.5,24,186,H62,,
2017-09-05,000722,1,8397,7,4,1,1.74,1.5,209,390,D44,,
2017-02-20,000725,1,361078,412,275,75,0.06,2,6,301,C39,,
2017-04-26,000725,1,19835,23,9,8,0.53,1.5,1078,359,C39,,
2017-09-22,000725,1,5848,5,1,0,1.69,2,25,341,C39,,
2017-09-25,000725,1,387356,341,117,74,0.95,1.5,68,389,C39,,
2017-10-25,000725,1,4925,7,6,0,4.98,1,25,32,C39,,
2017-11-02,000725,1,7722,7,4,0,1.5,2,45,109,C39,,
2017-11-13,000725,2,24908,39,31,12,0.88,1.75,67,188.5,C39,,
2017-11-16,000725,1,51775,90,90,8,0.34,2,161,134,C39,,
2017-11-29,000725,2,3999,9.5,4,0,2.43,2.25,1021,24.5,C39,,
2017-12-13,000725,1,11532,23,2,1,0.94,2,51,338,C39,,
2017-11-16,000727,1,3392,5,3,4,1.5,2,202,218,C39,,
2017-11-24,000727,1,7397,3,0,0,1.48,2,65,182,C39,,
2017-12-11,000727,1,4858,9,2,0,2.14,1,7,87,C39,,
2017-12-14,000727,1,36480,124,64,7,1.38,2,239,304,C39,,
2017-12-26,000727,1,168566,169,0,34,1.41,2,238,398,C39,,
2017-03-31,000727,1,2743,1,1,0,2.6,2,104,101,C39,,
2017-05-28,000729,1,23717,38,20,6,0.03,1.5,26,398,C15,,
2017-12-29,000732,1,71685,71,0,22,3.4,2,21,105,K70,,
2017-10-12,000733,1,36625,17,10,9,1.4,1.5,2020,306,C39,,
2017-10-13,000739,1,1603,2,2,0,2.35,1.5,35,24,C27,,
