嚜燕ostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-04-12,000005,1,6184,17,0,2,1.11,2.5,1543,308,N77,2092,
2017-05-08,000005,1,4485,11,0,0,2.13,1.5,116,328,N77,,
2017-05-23,000005,1,351680,282,277,47,1.68,3,1049,303,N77,,
2017-09-19,000005,1,49808,16,2,2,3.98,4,9141,361,N77,,
2017-09-21,000005,1,75088,124,124,7,2.57,2.5,1337,109,N77,,
2017-10-20,000005,1,178051,134,134,3,4.76,2,58,133,N77,,
2017-11-23,000005,1,33796,120,120,5,1.54,1.5,1550,94,N77,,
2017-03-13,000005,1,3663,23,18,1,1.88,2.5,888,322,N77,,
2017-10-15,000009,1,17230,63,14,4,2.55,1.5,10,383,S90,,
2017-09-21,000009,1,39066,23,23,10,4.34,2.5,63,239,S90,,
2017-09-12,000009,1,19880,13,10,7,0.23,0,14,92,S90,,
2017-04-28,000009,1,2430,1,1,1,0.03,3.5,4804,310,S90,,
2017-05-11,000009,1,3588,5,5,0,0.12,1.5,15,333,S90,,
2017-05-12,000009,1,15910,26,25,2,0.12,1.5,15,386,S90,,
2017-03-28,000009,1,1310,0,1,0,0,1.5,15,333,S90,,
2017-03-29,000009,1,6868,11,6,1,0,1.5,15,333,S90,,
2017-05-27,000009,1,7781,4,4,1,0.16,1.5,15,333,S90,,
2017-08-11,000014,1,44310,13,13,4,4.38,3.5,1629,0,K70,,
2017-09-01,000014,1,8614,14,14,3,1.81,2.5,1100,387,K70,,
2017-04-25,000037,1,15788,7,3,8,1.67,2.5,73,148,D44,,
2017-12-28,000048,1,173820,543,164,5,0.88,0,42,325,C13,,
2017-12-17,000155,1,149279,66,66,54,4.73,3.5,757,0,C26,,
2017-12-17,000159,1,17079,38,0,0,4.46,0,403,379,F51,,
2017-04-28,000410,1,46046,10,10,5,4.09,0,2140,0,C34,,
2017-05-22,000410,1,1300,1,0,0,1.39,0,6,27,C34,,
2017-03-17,000410,1,27199,9,9,1,3.97,0,2140,0,C34,,
2017-11-02,000410,1,2838586,5302,2365,193,3.13,2,1550,347,C34,,
2017-12-26,000422,2,9424.5,13,0.5,3,2.06,3,1103,352,C26,,
2017-12-27,000422,1,4376,5,0,0,2.06,3,1103,316,C26,,
2017-12-15,000422,1,8838,25,0,1,2.03,3,1102,352,C26,,
2017-12-18,000422,1,8892,13,0,2,2.04,3,1102,352,C26,,
2017-12-25,000422,1,5307,2,0,0,2.06,3,1102,352,C26,,
2017-11-01,000422,1,11050,29,0,0,1.91,3,1102,354,C26,,
2017-11-08,000422,2,18.5,0,0,0,4.62,3.5,1886,0,C26,,
2017-11-29,000422,2,26477.5,37,0,1,1.99,3,1102,355,C26,,
2017-06-23,000422,1,5529,10,0,0,1.55,3,1102,357,C26,,
2017-07-04,000422,1,12268,26,0,12,1.58,3,1102,357,C26,,
2017-07-24,000422,1,4604,11,0,2,1.64,3,1102,357,C26,,
2017-09-14,000422,1,77223,108,24,13,4.16,3,21,383,C26,,
2017-05-17,000422,1,4431,8,0,4,1.45,3,1102,360,C26,,
2017-06-08,000422,1,10808,38,0,6,1.51,3,1102,358,C26,,
2017-04-20,000422,2,14785.5,20,0,7,1.38,3,1102,361,C26,,
2017-04-24,000422,1,4035,8,0,2,1.39,3,1102,361,C26,,
2017-02-20,000422,1,6236,7,0,3,1.21,3,1102,366,C26,,
2017-03-10,000422,2,18144,42,0,6,1.26,3,1102,366,C26,,
2017-03-14,000422,1,2382,4,0,0,1.27,3,1102,366,C26,,
2017-03-16,000422,2,15785,29,0,6,1.28,3,1102,366,C26,,
2017-03-23,000422,1,10652,19,0,3,1.3,3,1102,363,C26,,
2017-01-05,000422,1,21789,30,0,2,1.09,3,1102,367,C26,,
2017-12-20,000504,1,278183,471,0,26,2.44,3.5,1691,302,R85,,
2017-11-29,000506,1,37710,30,31,5,4.68,4,2707,0,B09,,
2017-02-20,000506,1,77149,32,28,16,3.9,4,2708,0,B09,,
2017-03-13,000506,1,56801,19,19,7,3.96,4,2708,0,B09,,
2017-02-10,000506,1,4048,0,0,0,1.84,3,225,392,B09,,
2017-11-10,000510,1,15974,26,4,2,1.9,3,78,335,C26,,
2017-08-18,000510,1,14269,7,6,2,0.19,3,246,340,C26,,
2017-08-08,000510,1,4338,8,4,0,0.17,3,246,340,C26,,
2017-11-03,000514,2,6.5,0,0,0,4.61,3,324,0,K70,,
2017-11-20,000517,2,11.5,0,0,0,4.65,3.5,1434,0,K70,,
2017-07-13,000520,1,2120,4,2,5,2.56,3,173,360,G55,,
2017-02-20,000533,1,57,0,0,0,0.01,2.5,532,122,C38,,
2017-02-06,000557,1,119818,199,94,20,1.93,3,145,303,G53,,
2017-11-21,000572,1,3119,7,0,0,0.01,1.5,52,92,C36,,
2017-10-26,000572,2,30940,77.5,18.5,12,4.39,3,347,314,C36,,
2017-09-29,000572,1,23163,33,26,21,7.56,3,238,299,C36,,
2017-12-31,000585,1,26515,13,0,3,2.07,1.5,31,24,C38,,
2017-08-25,000585,1,16484,13,0,10,0.53,2,108,187,C38,,
