PostDate,Stkcd,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2017-07-17,000001,1,5118,8,4,2,2.38,2,113,396,J66,384,74
2017-05-20,000166,1,250154,632,313,68,1.43,3,79,333,J67,,
2017-05-06,000166,1,31843,112,37,9,0.87,3.5,1338,347,J67,,
2017-04-24,000166,1,65984,81,69,10,0.01,2,43,65,J67,,
2017-12-21,000166,1,25565,49,0,4,4.91,3.5,2030,0,J67,,
2017-12-20,000166,1,13859,42,18,2,4.91,3.5,2030,0,J67,,
2017-12-11,000166,3,6887,14.67,8.33,2.67,0.62,0,1617,113,J67,,
2017-12-09,000166,7,16608.43,21,6.71,1.14,4.88,3.5,2030,0,J67,,
2017-12-08,000166,17,5545.53,15.35,3.35,0.29,4.87,3.5,2030,0,J67,,
2017-11-29,000166,1,5943,16,5,1,4.85,3.5,2030,0,J67,,
2017-11-28,000166,1,7123,20,11,2,4.85,3.5,2030,0,J67,,
2017-11-27,000166,5,16998.4,15.8,6,0.8,4.84,3.5,2030,0,J67,,
2017-11-25,000166,22,8934.77,10.86,2.68,0.59,4.84,3.5,2030,0,J67,,
2017-11-24,000166,14,10091.21,10.43,2.93,0.64,4.84,3.5,2030,0,J67,,
2017-11-13,000166,1,3427,10,6,0,4.81,3.5,2030,0,J67,,
2017-11-12,000166,1,6588,15,9,2,4.8,3.5,2030,0,J67,,
2017-10-13,000166,1,8886,15,4,1,0.46,0,1617,113,J67,,
2017-10-15,000166,1,10521,19,7,3,0.46,0,1617,113,J67,,
2017-10-16,000166,3,7316,11,5,0,0.47,0,1617,113,J67,,
2017-10-17,000166,1,4909,22,7,0,4.73,3.5,2030,0,J67,,
2017-10-23,000166,35,9071.91,37.14,21.31,1.46,0.48,0,1617,113,J67,,
2017-11-08,000166,3,4741.67,18.33,3.67,0.67,4.79,3.5,2030,0,J67,,
2017-11-06,000166,3,5745,10,3.67,0.33,0.52,0,1617,113,J67,,
2017-11-03,000166,2,7769.5,13.5,5,0.5,4.78,3.5,2030,0,J67,,
2017-11-02,000166,1,6433,11,6,0,0.51,0,1617,113,J67,,
2017-10-30,000166,1,5931,12,7,0,0.5,0,1617,113,J67,,
2017-10-29,000166,5,8120.8,16.6,6.8,1.4,4.76,3.5,2030,0,J67,,
2017-10-27,000166,5,5452.6,13.4,4.4,0,0.5,0,1617,113,J67,,
2017-10-26,000166,7,5778.57,14,4.57,6.57,0.49,0,1617,113,J67,,
2017-06-06,000166,1,56470,124,70,20,1.42,3.5,1301,339,J67,,
2017-08-08,000166,1,33888,90,71,23,0.08,2,20,94,J67,,
2017-07-23,000416,1,6417,2,0,2,9.31,2,616,381,J69,,
2017-11-20,000563,2,330136.5,455,224,40,3,3,29,351,J69,,
2017-11-08,000563,1,5433,8,7,3,1.28,2,211,199,J69,,
2017-07-11,000563,1,7947,12,11,1,0.09,3,246,340,J69,,
2017-07-27,000627,1,7116,10,8,5,4.44,2,54,337,J68,,
2017-05-10,000627,1,30634,31,15,12,4.22,2,64,355,J68,,
