嚜燕ostDate,Stockcode,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd,,
2018/12/30,000002,2,69240.5,45,41.5,2,5.76,5,2489,0,K70,,
2018/12/31,000002,1,11096,8,0,1,5.76,5,2489,0,K70,,
2018/11/24,000002,2,14960,38.5,9.5,3.5,3.23,3.5,2553,29639,K70,,
2018/12/3,000002,2,3251.5,10.5,7.5,0,9.32,3.5,716,322,K70,,
2018/12/4,000002,5,7652,7.6,6.6,0.8,7.51,4.25,5847.5,161,K70,,
2018/12/5,000002,4,29416.75,66.25,60.75,0.75,6.56,3,709.67,2173.67,K70,,
2018/12/7,000002,2,2744.5,18.5,11,0,9.31,3.5,817.5,360,K70,,
2018/12/11,000002,3,13418.33,42.33,21.67,1.67,6.25,2.67,358,1722.33,K70,,
2018/12/12,000002,1,10889,9,9,1,5.71,5,10979,0,K70,,
2018/12/14,000002,2,17288.5,45.5,45,0.5,7.48,4.25,5991,184,K70,,
2018/12/18,000002,4,4586.5,4.5,2.75,0.75,3.14,3.5,4240.67,245.67,K70,,
2018/12/19,000002,1,14954,28,25,0,9.43,4,1829,365,K70,,
2018/12/20,000002,7,4409.29,5.29,2.86,0.29,9.42,3.5,1291.5,391.5,K70,,
2018/12/21,000002,2,3837,7.5,1,2.5,6.72,3.25,665.5,359.5,K70,,
2018/12/22,000002,6,2122.5,2.83,1.83,0,6.88,3,1181,310.5,K70,,
2018/12/25,000002,1,1525,3,0,0,4.15,3,1130,307,K70,,
2018/12/26,000002,2,14028.5,9,8.5,0,7.24,4.5,5631,180.5,K70,,
2018/12/27,000002,3,1985.67,5.33,0.67,0.33,3.13,3.5,150,371,K70,,
2018/3/9,000002,4,16744.25,38,5.75,1.25,2.2,3,1316.5,326,K70,,
2018/3/17,000002,5,2973,2.4,2,0,3.35,2.67,472,331,K70,,
2018/3/18,000002,1,3658,3,3,0,0.54,2.5,272,358,K70,,
2018/4/17,000002,4,18810.5,8.25,8,1,6.93,4.25,2268.5,165.5,K70,,
2018/4/18,000002,5,29942,19,18,1.8,4.06,4,1777,171,K70,,
2018/4/19,000002,1,19516,7,7,4,5.06,5,3305,0,K70,,
2018/4/23,000002,12,28571.5,5.75,5.75,0.83,6.86,4.25,1772.5,188.5,K70,,
2018/4/25,000002,1,66158,15,15,6,5.08,5,3280,0,K70,,
2018/5/2,000002,4,1940.25,1.5,1,0,8.84,3.5,1232,331,K70,,
2018/5/3,000002,5,2048.8,2.2,2,0,8.67,3,528,376,K70,,
2018/5/4,000002,1,4956,9,7,0,2.95,3.5,1059,379,K70,,
2018/5/14,000002,2,60928.5,19.5,19.5,3,5.13,5,3274,0,K70,,
2018/5/18,000002,1,44107,55,51,2,3.4,4,521,2778,K70,,
2018/5/22,000002,5,1878.2,1.4,1.2,0.2,6.7,3.5,1371,357,K70,,
2018/5/23,000002,2,7155,13.5,2.5,0,5,2.5,420,336,K70,,
2018/5/25,000002,4,25233.75,8.75,9,1.5,5.16,5,3274,0,K70,,
2018/5/30,000002,1,20142,41,38,3,3.18,3,249,3635,K70,,
2018/6/4,000002,1,36559,6,6,0,5.19,5,3274,0,K70,,
2018/6/6,000002,1,34709,11,11,2,5.19,5,3274,0,K70,,
2018/6/7,000002,1,12059,25,2,2,4.78,3.5,433,351,K70,,
2018/6/8,000002,1,32361,4,4,0,5.2,5,3274,0,K70,,
2018/6/11,000002,2,35327.5,10,10,2.5,5.21,5,3274,0,K70,,
2018/6/25,000002,3,82076.33,124.33,21.33,7.33,4.51,4,2681.5,1234,K70,,
2018/6/27,000002,1,34890,16,16,7,5.25,5,3305,0,K70,,
2018/6/29,000002,3,29991.33,14,14,0.67,5.26,5,3305,0,K70,,
2018/6/30,000002,1,5782,7,5,1,1.28,3,396,369,K70,,
2018/7/2,000002,1,146784,26,26,8,5.27,5,3305,0,K70,,
2018/7/4,000002,3,24946.33,7,7.33,4,3.58,3.25,2231,168.5,K70,,
2018/7/5,000002,1,39093,8,8,2,5.27,5,3305,0,K70,,
2018/7/14,000002,1,6051,9,3,0,0.21,3.5,9298,299,K70,,
2018/7/17,000002,1,57485,17,18,1,5.31,5,3327,0,K70,,
2018/7/19,000002,2,61846,72,4.5,3.5,3.62,4.25,1960.5,186,K70,,
2018/7/24,000002,2,74976.5,8.5,8.5,2.5,5.33,5,3275,0,K70,,
2018/7/30,000002,1,39817,7,8,3,5.34,5,3275,0,K70,,
2018/7/31,000002,1,40257,10,10,2,5.35,5,3275,0,K70,,
2018/8/3,000002,4,18649.75,2.75,3,0.25,5.35,5,3275,0,K70,,
2018/8/5,000002,4,24934,7.25,6.25,1.25,3.45,4,1381,3558,K70,,
2018/8/6,000002,1,29713,7,7,1,5.36,5,3275,0,K70,,
2018/8/7,000002,3,31963,4.33,4.67,2.33,5.36,5,3275,0,K70,,
2018/8/9,000002,1,9789,11,7,0,3.21,3.5,1013,376,K70,,
2018/8/15,000002,4,13199.25,3.5,3.75,0.5,3.93,3.75,1827,2438,K70,,
2018/8/20,000002,8,23389.75,3.63,3.88,1.25,5.4,5,3274,0,K70,,
2018/8/23,000002,1,3414,7,5,0,3.87,2.5,248,397,K70,,
2018/8/28,000002,2,263425,140,3.5,3.5,7.2,4.5,1875,147,K70,,
2018/9/5,000002,1,21743,7,8,4,5.44,5,3274,0,K70,,
2018/9/19,000002,1,3807,7,4,0,0.4,3.5,9386,299,K70,,
2018/10/2,000002,2,31217.5,42,5,7,3.08,3.5,2072,359,K70,,
2018/10/10,000002,1,1035932,237,0,2,9.12,3.5,886,391,K70,,
2018/10/13,000002,1,6660,15,0,0,3.52,4.5,6195,299,K70,,
2018/10/18,000002,2,25826,65,40,15.5,7.84,2.5,157,1790.5,K70,,
2018/10/20,000002,2,60666,115.5,46.5,9,4.92,3,405,4135,K70,,
2018/10/21,000002,1,6807,8,3,0,0.48,3.5,8837,393,K70,,
2018/10/23,000002,4,11452.5,3.75,4.25,0.25,5.58,5,10758,0,K70,,
2018/10/24,000002,1,362099,355,0,6,9.21,3.5,649,324,K70,,
2018/10/25,000002,2,3727,5,4,0,9.14,3,489,307,K70,,
2018/11/1,000002,1,58137,98,16,11,7.76,4.5,2539,97198,K70,,
2018/11/4,000002,1,9976,39,39,3,9.17,3.5,1683,374,K70,,
2018/11/9,000002,1,15241,55,6,3,2.83,4,2170,308,K70,,
2018/11/10,000002,1,3998,11,1,1,0.54,3.5,8837,393,K70,,
2018/11/11,000002,2,3652,7,2.5,0,0.54,3.5,8856,394,K70,,
2018/11/14,000002,1,1976,4,1,1,0.55,3.5,8495,264,K70,,
2018/11/15,000002,1,8308,18,16,0,9.27,3.5,716,345,K70,,
2018/11/16,000002,2,9425.5,18.5,16.5,0.5,9.27,3.5,716,345,K70,,
2018/11/18,000002,1,6829,22,5,0,3.62,4,5452,358,K70,,
2018/11/20,000002,1,1822,1,0,0,4.05,3,1160,343,K70,,
2018/11/21,000002,2,48592.5,110.5,99,6.5,9.22,3,516,5879,K70,,
2018/11/22,000002,1,13959,24,10,5,4.2,4,2440,35815,K70,,
2018/11/23,000002,1,3376,12,2,0,3.64,4,5522,327,K70,,
2018/3/26,000002,1,36856,12,12,5,5,5,3280,0,K70,,
2018/3/27,000002,1,1,2,0,0,7.96,4,0,371,K70,,
2018/3/29,000002,1,3939,4,1,1,4.44,2.5,118,350,K70,,
2018/3/30,000002,24,1774.38,3.33,2.71,0.04,8.53,3.5,803,379,K70,,
2018/4/2,000002,7,2375.43,1.86,1.71,0,8.75,3.5,1232,331,K70,,
2018/4/3,000002,24,3890.33,5.75,3.67,0,8.6,3.25,389,385.5,K70,,
2018/4/4,000002,20,4642.1,2.8,2.65,0.5,8.55,3.5,803,372,K70,,
2018/4/5,000002,3,46636.67,69,65,3.67,4.03,4,1384.5,171,K70,,
2018/4/8,000002,2,2500959.5,1339,1227,36,5.03,5,3280,0,K70,,
2018/4/9,000002,1,3181,4,3,0,8.56,3.5,1003,350,K70,,
2018/4/11,000002,1,8668,10,9,0,2.88,3.5,962,350,K70,,
