PostDate,Stockcode,TotalPosts,AvgReadings,AvgComments,AvgNetComments,AvgThumbUps,AvgUserBarAge,AvgUserInfluIndex,AvgUserPosts,AvgUserComments,Indcd
2020-01-01,000001,9,5910.56,159,123.89,13.44,5.42,3.28,3434.78,11527.78,35485
2020-01-02,000001,8,6956.38,55.25,31.13,24.13,5.56,3.56,3591.38,9822.25,123
2020-01-03,000001,8,5071,32.63,23.25,29.13,4.5,3.58,7154.17,23492.17,J66
2020-01-04,000001,4,2671.25,18.25,14.5,10.75,6.23,3.63,4172.5,15168.5,J66
2020-01-05,000001,4,5516.25,34.25,25.25,20,8.33,3.88,5714.25,31240.25,J66
2020-01-06,000001,7,18474.71,116.29,104.86,95.86,4.99,3.64,2907,16423.43,J66
2020-01-07,000001,3,1263.33,23.67,3.33,3.33,6,3.67,14142.67,53661.67,J66
2020-01-08,000001,7,2403.71,31.14,15.71,10,4.53,2.92,3205.67,21618.67,J66
2020-01-09,000001,8,2085,15.5,11.75,23.13,6.14,3.29,5927.43,23829,J66
2020-01-10,000001,25,12147.88,138.56,84.56,34.88,5.03,3.26,2675.52,20684.7,J66
2020-01-11,000001,8,12073.5,238.38,134.13,25.75,4.93,3.71,8896,51819.43,J66
2020-01-12,000001,16,4538.31,32.56,25.75,23.69,5.43,3.37,3251.73,21055,J66
2020-01-13,000001,17,3836,34.47,26,14.88,4.54,3.47,2694.65,16935.71,J66
2020-01-14,000001,29,4894.55,25.76,19.62,16.03,4.61,3.38,3449.07,15801.25,J66
2020-01-15,000001,29,8927.03,61.48,50.34,21.79,4.16,3.33,6401.57,26416.65,J66
2020-01-16,000001,85,4812.14,27.99,20.62,20.22,4.49,3.15,2330.73,9409.93,J66
2020-01-17,000001,1782,430,1.33,1.06,1.54,3.19,2.2,1127.37,1331.1,J66
2020-01-18,000001,411,1007.82,3.26,2.19,2.09,3.19,2.31,2913.66,3895.51,J66
2020-01-19,000001,408,827.16,2.63,1.59,1.15,3.24,2.31,1560.35,3540.6,J66
2020-01-20,000001,754,861.65,2.44,1.74,1.81,3.22,2.31,1320.73,2147.01,J66
2020-01-21,000001,1412,584.95,1.51,1.14,1.58,3.22,2.18,1443.39,1569.27,J66
2020-01-22,000001,850,603.18,1.75,1.26,1.59,3.31,2.28,1843.04,2054.45,J66
2020-01-23,000001,1,200,1,0,0,4.2,3.5,372,1424,J66
2020-02-03,000001,3,238.67,1.67,0.67,2,7.53,2.83,1107,2210.67,J66
2020-02-04,000001,1,268,1,1,0,6.3,1.5,101,206,J66
2020-02-05,000001,1,201,1,0,0,8.8,2.5,234,647,J66
2020-02-06,000001,1,272,1,1,1,6.1,3,866,2507,J66
2020-02-07,000001,2,369,2.5,0,0.5,5.3,2.5,389,5899.5,J66
2020-02-12,000001,682,1172.18,4.94,3.66,3.59,3.28,2.26,1407.83,2613.63,J66
2020-02-13,000001,2004,601.89,1.48,1.16,1.52,3.21,2.09,1011.67,1323.86,J66
2020-02-14,000001,1155,677.12,1.43,1.05,1.87,3.17,2.12,1620.12,1598.32,J66
2020-02-15,000001,275,926.2,2.97,2.13,3.36,3.23,2.08,1065.29,2597.84,J66
2020-02-16,000001,634,856,2.86,1.86,2.33,2.99,2.01,1025.15,2496.78,J66
2020-02-17,000001,1100,1288.35,3.51,2.71,4.3,3.05,2.03,955.35,1831.31,J66
2020-02-18,000001,998,704.88,2.28,1.78,2.31,3,2.09,1169.17,1927.14,J66
2020-02-19,000001,974,917.07,3.01,2.44,2.62,3.12,2.07,1025.83,1685.61,J66
2020-02-20,000001,2100,434.05,1.29,0.89,1.38,3.07,2.05,1259.34,1298.2,J66
2020-02-21,000001,1237,490.65,2.06,1.43,1.84,3.25,2.1,1541.67,1534.8,J66
2020-02-22,000001,376,1426.92,4.74,4.08,3.33,3.17,2.1,1086.51,2695.87,J66
2020-02-23,000001,837,769.3,2.21,1.45,1.69,3.13,2.1,1004.55,2217.36,J66
2020-02-24,000001,1532,525.06,1.41,1.07,1.48,3.05,2.12,971.28,1356.58,J66
2020-02-25,000001,1652,638.32,1.77,1.37,1.88,3.11,2.07,915.75,1406.79,J66
2020-02-26,000001,1642,397.39,1.47,1.02,1.22,3.12,2.07,991.95,1589.51,J66
2020-02-27,000001,1401,837.74,2.34,1.88,2.49,3.22,2.07,982.79,1549.51,J66
2020-02-28,000001,4426,519.01,1.45,1.24,1.59,3.3,2.05,992.64,1026.2,J66
2020-02-29,000001,1347,756.82,3.46,2.62,2.9,3.07,2.07,1435.82,1846.98,J66
2020-03-01,000001,1303,771.97,2.21,1.61,2.23,2.91,2.03,878.09,1672.93,J66
2020-03-02,000001,1413,813.75,2.31,1.68,2.24,3.15,2.06,920.72,1317.56,J66
2020-03-03,000001,1218,574.07,2.05,1.56,1.9,3.06,2.09,1573.49,1674.71,J66
2020-03-04,000001,1151,597.09,2.09,1.48,2.17,3.25,2.1,1558.25,1694.97,J66
2020-03-05,000001,1897,970.97,2.69,2.23,2.83,3.08,2.03,994.89,1353.71,J66
2020-03-06,000001,1413,604.38,1.56,1.3,1.62,3.16,2.12,1463.3,1330.95,J66
2020-03-07,000001,382,864.22,3.36,2.73,3.97,2.79,1.94,907.26,1830.49,J66
2020-03-08,000001,944,839.79,2.42,1.74,2.61,3.12,2.06,946.67,1661.72,J66
2020-03-09,000001,2599,550.64,1.55,1.15,1.63,3.13,2.09,922.3,1224.18,J66
2020-03-10,000001,1629,809.13,2.52,2.03,2.31,3.2,2.05,1197.63,1342.72,J66
2020-03-11,000001,1454,715.63,1.87,1.39,2.15,3.2,2.09,1022.94,1767.84,J66
2020-03-12,000001,4344,450.64,1.38,1.86,1.52,3.26,2.03,829.58,1169.1,J66
2020-03-13,000001,6843,302.53,0.93,2.24,1.05,3.28,1.96,711.06,841.73,J66
2020-03-14,000001,968,711.34,2.12,5.29,2.39,3.25,2.05,1589.43,1866.4,J66
2020-03-15,000001,515,835.75,2.74,7.25,3.1,3.21,2.14,1257.21,2963.64,J66
2020-03-16,000001,1011,709.35,1.32,7,1.64,3.1,2.03,928.29,1056.49,J66
2020-03-17,000001,1345,497.14,1.62,1.45,1.72,3.1,1.98,843.95,1266.28,J66
2020-03-18,000001,3098,484.42,1.63,5.13,1.89,3,1.94,797,1109.35,J66
2020-03-19,000001,1987,325.15,1.16,1.68,1.43,3.17,2,837.92,1166.7,J66
2020-03-20,000001,1701,610.18,2.17,1.6,2.02,3.06,2.02,870.42,1314.1,J66
2020-03-21,000001,1226,532.93,3.6,2.98,4.13,2.98,2.08,1432.58,1784.58,J66
2020-03-22,000001,1145,460.68,2.55,2.02,3.87,3.02,2.04,938.98,1698.96,J66
2020-03-23,000001,3487,286.42,1.56,3.17,1.87,3.1,1.96,792.16,979.02,J66
2020-03-24,000001,2538,300.05,1.65,4.84,1.83,3.04,1.99,1042.39,1089.54,J66
2020-03-25,000001,2741,294.64,1.5,2.26,2.62,3.13,2.06,1467.6,1024.29,J66
2020-03-26,000001,2401,406.07,2.27,4.79,2.27,3.11,2.08,1220.6,1165.53,J66
2020-03-27,000001,3349,262.75,1.61,13.87,2.22,3.2,2.06,866.77,968.62,J66
2020-03-28,000001,443,487.19,3.74,4.08,4.19,3.12,2.12,1009.28,2222.52,J66
2020-03-29,000001,853,481.2,2.75,2.07,3.14,3.02,2.1,989.56,1878.65,J66
2020-03-30,000001,2077,311.22,1.84,8.97,1.99,3.08,2.08,1008.8,1362.78,J66
2020-03-31,000001,2530,257.93,1.45,8.98,2.1,3.11,2.04,1114.81,1213.44,J66
2020-04-01,000001,2147,311.48,1.96,17.07,2.23,3.17,2.1,1189.59,1331.77,J66
2020-04-02,000001,403,336.56,1.69,25.05,1.7,3.39,2.15,1098.19,1532.97,J66
2020-04-03,000001,11,215.27,1.55,20.18,0.45,2.92,2.41,3758.18,1101,J66
2020-04-05,000001,142,700.6,3.81,23.04,5.46,3.1,2.37,1435.3,3104.98,J66
2020-04-06,000001,27,792.93,9.37,24.48,2.96,3.64,2.67,3292.58,5451,J66
2020-04-07,000001,401,341.09,1.97,22.84,2.82,2.84,2.05,1031.68,1263.4,J66
2020-04-08,000001,388,526.82,2.21,17.39,2.98,2.98,2.19,1234.85,1916.68,J66
2020-04-09,000001,1119,429.25,3.03,20.05,2.9,3.12,2.14,1232.61,1639.3,J66
2020-04-10,000001,137,287.15,2.31,16.8,1.69,3.21,2.16,1355.9,1668.46,J66
2020-04-11,000001,2,20817,170.5,155,58.5,4.95,3.5,181,3169,J66
2020-04-13,000001,38,382.13,1.47,19.29,0.79,2.47,1.96,2153.89,1498.54,J66
2020-04-14,000001,40,402.63,0.98,26.33,1.13,2.87,1.89,1185.7,1262.65,J66
2020-04-15,000001,30,329.07,1.4,24.53,1.1,3.56,2.54,22478.04,1868.71,J66
2020-04-16,000001,77,340.32,1.29,16.51,1.32,2.41,2.12,9702.53,1422.19,J66
2020-04-17,000001,47,277.26,0.81,18.85,0.62,2.37,2.14,14785.71,2594.47,J66
2020-04-18,000001,13,632.69,2.15,14.15,0.85,3.55,2.85,51946.2,8380.3,J66
2020-04-19,000001,7,403.14,0.86,9.14,0.57,3.49,2.75,2507.67,8825,J66
2020-04-20,000001,39,532,1.59,9.69,1,3.01,2.21,1154.46,2131.66,J66
2020-04-21,000001,71,289.15,0.77,9.1,0.41,2.99,1.9,884.03,2001.6,J66
2020-04-22,000001,56,315.27,0.98,10.66,0.43,2.19,1.77,11226.21,2233.83,J66
2020-04-23,000001,36,295.78,0.92,9.61,0.69,3.1,2.12,19974.9,2363.9,J66
2020-04-24,000001,19,326,1.32,5.37,1.05,3.78,2.45,28827.47,1902.32,J66
2020-04-25,000001,14,379.07,0.57,3.93,0.64,3.49,2.75,44243,4786.67,J66
2020-04-26,000001,6,377,0.67,10.33,0,2.61,2.58,1736.83,6487.17,J66
2020-04-27,000001,20,333.75,0.85,7.75,0.75,2.02,1.74,306.74,279.42,J66
2020-04-28,000001,23,286.78,0.3,9.26,0.17,2.72,1.86,26286.29,2074.05,J66
2020-04-29,000001,43,369.16,2.05,8.37,3.91,3.1,2.11,15506.31,2283.58,J66
